;Codice;Descrizione;Ordinato;Da cons.;Val.Residuo;Nr.doc;Data Doc.;Consegna;Richiedente;Note
SL2524-L;SL2524-L;SL2524  -  MOTORE INTERNO BRUSHLESS SL27/32M (CON RP22SS4) REV. 2 - Montaggio;500;500;600;2024-OF-0000808;13/03/2024;15/07/2025;;
SL1084B160-L;SL1084B160-L;SL1084B160  -  MODULO SOLARE B160 REV. 4 - Montaggio;500;200;640;2024-OF-0003097;16/09/2024;15/06/2025;;
SL1084B160-L;SL1084B160-L;SL1084B160  -  MODULO SOLARE B160 REV. 4 - Montaggio;500;500;1.600,00;2024-OF-0003098;16/09/2024;15/07/2025;;
SL3192-L;SL3192-L;SL3192  -  TELECOMANDO RADIO - Montaggio;400;400;560;2024-OF-0003715;23/10/2024;31/07/2025;;
SL3199-L;SL3199-L;SL3199  -  MOTORIDUTTORE SL27/29/32 MB PELLINI - Montaggio;100;100;0;2024-OF-0003902;08/11/2024;30/05/2025;;
SL3199-L;SL3199-L;SL3199  -  MOTORIDUTTORE SL27/29/32 MB PELLINI - Montaggio;500;500;0;2024-OF-0004048;19/11/2024;31/07/2025;;
SL3199-L;SL3199-L;SL3199  -  MOTORIDUTTORE SL27/29/32 MB PELLINI - Montaggio;500;500;0;2024-OF-0004051;19/11/2024;31/07/2025;;
SL2395-L;SL2395-L;SL2395  -  MOTORE INTERNO SL20/22 W  REV.3 - Montaggio;1.479,00;1.159,00;1.622,60;2024-OF-0004431;16/12/2024;30/06/2025;;
SL2775S102-L;SL2775S102-L;SL2775S102  -  SUPPORTO MODULO BATTERIA BIANCO REV. 1 - Montaggio;500;250;320;2025-OF-0000302;27/01/2025;04/07/2025;;
SL2775S102-L;SL2775S102-L;SL2775S102  -  SUPPORTO MODULO BATTERIA BIANCO REV. 1 - Montaggio;500;500;640;2025-OF-0000303;27/01/2025;11/07/2025;;
SL2775S157-L;SL2775S157-L;SL2775S157  -  SUPPORTO MODULO BATTERIA ARGENTO - REV. 1 - Montaggio;500;500;640;2025-OF-0000333;27/01/2025;04/07/2025;;
SL2776S157-L;SL2776S157-L;SL2776S157  -  MODULO BATTERIA ARGENTO REV. 3 - Montaggio;300;300;1.320,00;2025-OF-0000342;27/01/2025;15/07/2025;;
SL3192-L;SL3192-L;SL3192  -  TELECOMANDO RADIO - Montaggio;400;400;560;2025-OF-0000497;11/02/2025;11/07/2025;;
SLAV;SLAV;BB0000003 - Recupero nel processo produttivo tramite ricarica in reparto elettronico;257;257;0;2025-OF-0000753;04/03/2025;04/05/2025;;
SL3107-L;SL3107-L;SL3107  -  CENTRALINA MOTORE 24V - Montaggio;800;800;1.600,00;2025-OF-0000815;07/03/2025;31/07/2025;;
SL3000B-L;SL3000B-L;SL3000B  -  MODULO BASE HUB CONTROLLO TENDE - Montaggio;45;3;0;2025-OF-0000849;11/03/2025;31/03/2025;;
SL2921B160-L;SL2921B160-L;SL2921B160  -  GRUPPO MOTORE 24V WAVE B160 REV.1 - Montaggio;500;500;1.200,00;2025-OF-0001091;28/03/2025;31/07/2025;;
SL2190-L;SL2190-L;SL2190  -  MOTORE ESTERNO rev.5 (*) - Montaggio;330;330;0;2025-OF-0001155;07/04/2025;30/06/2025;;
SL2497-L;SL2497-L;SL2497  -  MOTORE INTERNO SL27/32 M PER ALBERO ESAGONALE 5MM REV.3 - Montaggio;483;483;483;2025-OF-0001184;08/04/2025;31/07/2025;;
SL3251-L;SL3251-L;SL3251  -  MOTORE INTERNO SL20/22 Wÿ - Montaggio;1.500,00;1.500,00;0;2025-OF-0001215;09/04/2025;31/07/2025;;
SL3252-L;SL3252-L;SL3252  -  MOTORE INTERNO SL27/29/32 W - Montaggio;139;139;0;2025-OF-0001224;09/04/2025;31/07/2025;;
SL2775S157-L;SL2775S157-L;SL2775S157  -  SUPPORTO MODULO BATTERIA ARGENTO - REV. 1 - Montaggio;200;200;256;2025-OF-0001329;16/04/2025;04/07/2025;;
SL2420-L;SL2420-L;SL2420  -  TEST KIT 3 VOLT S157 - Montaggio;20;19;0;2025-OF-0001978;17/06/2025;08/07/2025;;
SL1084B160-L;SL1084B160-L;SL1084B160  -  MODULO SOLARE B160 REV. 4 - Montaggio;500;500;1.600,00;2025-OF-0002036;19/06/2025;31/07/2025;;
SL1032S000-L;SL1032S000-L;SL1032S000  -  COMANDO ESTERNO AD ASTA TRASPARENTE (*) - Montaggio;100;100;80;2025-OF-0002049;20/06/2025;25/07/2025;;
SL3251-L;SL3251-L;SL3251  -  MOTORE INTERNO SL20/22 Wÿ - Montaggio;300;300;0;2025-OF-0002080;24/06/2025;25/07/2025;;
SL2534-L;SL2534-L;SL2534  -  TEST KIT PER TENDE 24V REV. 1 - Produzione;30;20;120;2025-OF-0002131;30/06/2025;30/06/2025;;
SL3071-L;SL3071-L;SL3071  -  MOTORE INTERNO SL27/29/32 MB PELLINI - Montaggio;500;450;540;2025-OF-0002165;02/07/2025;25/07/2025;;
SL3071-L;SL3071-L;SL3071  -  MOTORE INTERNO SL27/29/32 MB PELLINI - Montaggio;500;500;600;2025-OF-0002166;02/07/2025;25/07/2025;;
SL3157S102-L;SL3157S102-L;SL3157S102  -  COMANDO ESTERNO A LEVA S102 - Montaggio;100;100;0;2025-OF-0002188;03/07/2025;15/07/2025;;
SL3157S155-L;SL3157S155-L;SL3157S155  -  COMANDO ESTERNO A LEVA S155 - Montaggio;100;100;0;2025-OF-0002189;03/07/2025;15/07/2025;;
SL3160S102-L;SL3160S102-L;SL3160S102  -  COMANDO CON CHIAVE S102 - Montaggio;100;100;0;2025-OF-0002190;03/07/2025;15/07/2025;;
SL3160S155-L;SL3160S155-L;SL3160S155  -  COMANDO CON CHIAVE S155 - Montaggio;100;100;0;2025-OF-0002191;03/07/2025;15/07/2025;;
SL2776S102-L;SL2776S102-L;SL2776S102  -  MODULO BATTERIA BIANCO  REV.3 - Montaggio;100;100;440;2025-OF-0002269;09/07/2025;31/07/2025;;
